cohort_id,database_id,period_begin,period_end,series_type,calendar_interval,gender,age_group,records,subjects,person_days,person_days_in,records_start,subjects_start,subjects_start_in,records_end,subjects_end,subjects_end_in
135,-520511347,2007-04-01,2007-06-30,T2,q,MALE,40-49,94,94,6514,0,39,39,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,MALE,60-69,112,112,8533,0,40,40,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,FEMALE,20-29,-5,-5,251,0,-5,-5,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,FEMALE,40-49,37,37,2508,0,16,16,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,MALE,30-39,32,32,2289,0,14,14,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,MALE,50-59,113,113,8042,0,50,50,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,FEMALE,30-39,17,17,1375,0,6,6,0,0,0,0
135,-520511347,2007-04-01,2007-06-30,T2,q,MALE,20-29,-5,-5,182,0,0,0,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,NULL,NA,481,481,13875,0,78,78,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,MALE,NA,305,305,8795,0,49,49,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,FEMALE,NA,176,176,5080,0,29,29,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,NULL,30-39,45,45,1289,0,6,6,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,NULL,20-29,5,5,155,0,0,0,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,NULL,60-69,178,178,5285,0,19,19,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,NULL,50-59,143,143,4090,0,30,30,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,NULL,40-49,110,110,3056,0,23,23,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,MALE,30-39,29,29,806,0,5,5,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,FEMALE,50-59,47,47,1317,0,11,11,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,FEMALE,60-69,80,80,2340,0,12,12,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,FEMALE,30-39,16,16,483,0,-5,-5,0,0,0,0
135,-520511347,2007-05-01,2007-05-31,T2,m,MALE,50-59,96,96,2773,0,19,19,0,0,0,0
