cohort_id,database_id,period_begin,period_end,series_type,calendar_interval,gender,age_group,records,subjects,person_days,person_days_in,records_start,subjects_start,subjects_start_in,records_end,subjects_end,subjects_end_in
135,449523062,2015-04-01,2015-06-30,T2,q,FEMALE,20-29,11,11,1001,0,0,0,0,0,0,0
135,449523062,2015-04-01,2015-06-30,T2,q,MALE,30-39,205,205,18382,0,6,6,0,-5,-5,0
135,449523062,2015-04-01,2015-06-30,T2,q,FEMALE,40-49,205,205,18382,0,7,7,0,-5,-5,0
135,449523062,2015-04-01,2015-06-30,T2,q,MALE,50-59,1955,1955,174871,0,71,71,0,32,32,0
135,449523062,2015-04-01,2015-06-30,T2,q,FEMALE,30-39,60,60,5399,0,-5,-5,0,0,0,0
135,449523062,2015-04-01,2015-06-30,T2,q,MALE,10-19,8,8,728,0,0,0,0,0,0,0
135,449523062,2015-04-01,2015-06-30,T2,q,FEMALE,70-79,1526,1526,138593,0,6,6,0,-5,-5,0
135,449523062,2015-04-01,2015-06-30,T2,q,MALE,70-79,1950,1950,176903,0,14,14,0,-5,-5,0
135,449523062,2015-04-01,2015-06-30,T2,q,MALE,20-29,24,24,2124,0,-5,-5,0,0,0,0
135,449523062,2015-05-01,2015-05-31,T2,m,NULL,NA,9653,9653,299243,0,97,97,0,22,22,0
135,449523062,2015-05-01,2015-05-31,T2,m,MALE,NA,6670,6670,206770,0,73,73,0,17,17,0
135,449523062,2015-05-01,2015-05-31,T2,m,FEMALE,NA,2983,2983,92473,0,24,24,0,5,5,0
135,449523062,2015-05-01,2015-05-31,T2,m,NULL,30-39,261,261,8091,0,-5,-5,0,0,0,0
135,449523062,2015-05-01,2015-05-31,T2,m,NULL,20-29,35,35,1085,0,-5,-5,0,0,0,0
135,449523062,2015-05-01,2015-05-31,T2,m,NULL,60-69,2365,2365,73315,0,37,37,0,-5,-5,0
135,449523062,2015-05-01,2015-05-31,T2,m,NULL,70-79,3466,3466,107446,0,7,7,0,0,0,0
