cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
332,806438.35729,Female,70-79,2017,0.4116867668790844,135,449523062
10,770135.134839,Female,30-39,2019,0.012984734168881339,135,449523062
182,322352.908966,Female,80-89,2020,0.5645985965623668,135,449523062
-5,773350.097194,Female,20-29,2018,-0.00646537708877499,135,449523062
-5,570162.880219,Female,10-19,2019,-0.008769423919844617,135,449523062
155,301332.618754,Female,80-89,2018,0.5143817507740107,135,449523062
-5,508214.570842,Female,20-29,2021,-0.009838364121902482,135,449523062
0,1542937.812457,Female,20-29,2015,0,135,449523062
0,639441.048597,Female,10-19,2018,0,135,449523062
0,845284.561259,Female,0-9,2017,0,135,449523062
111,921880.572211,Female,50-59,2018,0.12040605187479135,135,449523062
18,1210173.505818,Female,30-39,2017,0.014873900241133728,135,449523062
0,302100.350445,Female,0-9,2022,0,135,449523062
0,1504516.016427,Female,30-39,2015,0,135,449523062
0,1698663.581109,Female,50-59,2015,0,135,449523062
107,662494.579055,Female,50-59,2020,0.16151075553346816,135,449523062
243,1783434.502396,Female,50-59,2016,0.13625395251327455,135,449523062
5,600528.019165,Female,30-39,2020,0.008326006181946706,135,449523062
0,395320.988364,Female,10-19,2021,0,135,449523062
0,323236.054757,Female,0-9,2021,0,135,449523062
0,146480.520192,Female,10-19,2023,0,135,449523062
14,552291.909651,Female,30-39,2021,0.025348913781566652,135,449523062
16,216358.160164,Female,40-49,2023,0.07395145155547617,135,449523062
0,352494.817248,Female,0-9,2020,0,135,449523062
0,366536.952772,Female,10-19,2022,0,135,449523062
-5,698234.403833,Female,20-29,2019,-0.007160918987308843,135,449523062
187,676609.42642,Female,60-69,2020,0.2763780590368559,135,449523062
44,523512.024641,Female,40-49,2021,0.08404773515980485,135,449523062
87,1592076.821355,Female,40-49,2016,0.054645604303161205,135,449523062
175,336520.240931,Female,80-89,2021,0.5200281549658167,135,449523062
85,600091.728953,Female,50-59,2021,0.14164501175229047,135,449523062
183,465705.141684,Female,70-79,2019,0.39295250067084936,135,449523062
40,502485.103354,Female,40-49,2022,0.07960434992601176,135,449523062
47,747456.563997,Female,40-49,2019,0.0628799080292626,135,449523062
-5,1602442.231348,Female,10-19,2016,-0.0031202372866782975,135,449523062
173,1011008.229979,Female,60-69,2017,0.1711163122812496,135,449523062
154,733895.389459,Female,60-69,2018,0.2098391708299503,135,449523062
155,438284.268309,Female,70-79,2018,0.35365175345678074,135,449523062
111,316386.477755,Female,60-69,2023,0.3508367386230552,135,449523062
5,538645.7577,Female,30-39,2022,0.009282538530238945,135,449523062
183,314435.597536,Female,80-89,2019,0.5819951730466782,135,449523062
-5,1168882.510609,Female,20-29,2017,-0.004277589881462892,135,449523062
-5,229990.01232,Female,30-39,2023,-0.021740074490900832,135,449523062
-5,491325.212868,Female,20-29,2022,-0.01017655896552434,135,449523062
208,482198.614648,Female,70-79,2020,0.43135752298218,135,449523062
0,117242.272416,Female,0-9,2023,0,135,449523062
234,508044.062971,Female,70-79,2022,0.4605899705462302,135,449523062
110,259316.049281,Female,70-79,2023,0.4241927960301517,135,449523062
158,1378905.420945,Female,50-59,2017,0.1145836382974827,135,449523062
11,840790.080767,Female,30-39,2018,0.013082932650639017,135,449523062
52,1211476.306639,Female,40-49,2017,0.042922836967619823,135,449523062
15,1471635.15948,Male,20-29,2016,0.010192743699668216,135,449523062
0,1323898.918549,Male,30-39,2015,0,135,449523062
500,604839.868583,Male,60-69,2020,0.8266650827290608,135,449523062
147,515526.261465,Male,40-49,2021,0.2851455124366736,135,449523062
-5,659458.945927,Male,10-19,2018,-0.00758197311732804,135,449523062
0,456513.218344,Male,10-19,2020,0,135,449523062
-5,727275.786448,Male,20-29,2018,-0.006874971081355393,135,449523062
158,207042.146475,Male,80-89,2020,0.763129646258175,135,449523062
416,624507.37577,Male,50-59,2020,0.6661250389350225,135,449523062
0,338952.183436,Male,0-9,2021,0,135,449523062
65,220342.036961,Male,40-49,2023,0.2949959113408071,135,449523062
420,540733.900068,Male,50-59,2022,0.7767221547367068,135,449523062
5,210219.101985,Male,20-29,2023,0.023784708205806963,135,449523062
32,546207.824778,Male,30-39,2022,0.05858575902497559,135,449523062
0,152282.212183,Male,10-19,2023,0,135,449523062
36,712108.903491,Male,30-39,2019,0.05055406528905307,135,449523062
435,759515.611225,Male,50-59,2019,0.5727334548112862,135,449523062
0,629939.227926,Male,70-79,2015,0,135,449523062
418,570692.454483,Male,50-59,2021,0.7324435371739291,135,449523062
0,1371405.245722,Male,20-29,2015,0,135,449523062
542,646875.219713,Male,60-69,2019,0.8378741115488546,135,449523062
-5,380599.832991,Male,10-19,2022,-0.013137157630119703,135,449523062
736,1595724.54757,Male,50-59,2016,0.4612324859705862,135,449523062
0,411141.078713,Male,10-19,2021,0,135,449523062
169,200015.824778,Male,80-89,2019,0.8449331456027299,135,449523062
315,1430318.250513,Male,40-49,2016,0.22023070731777467,135,449523062
0,1559631.66872,Male,10-19,2015,0,135,449523062
0,590221.319644,Male,10-19,2019,0,135,449523062
6,501943.446954,Male,20-29,2022,0.011953537866487701,135,449523062
23,238959.370294,Male,30-39,2023,0.09625067211929084,135,449523062
-5,1050674.861054,Male,10-19,2017,-0.004758846133411983,135,449523062
171,188610.143737,Male,80-89,2018,0.9066320432820635,135,449523062
364,377803.753593,Male,70-79,2019,0.9634631645087611,135,449523062
71,1426413.111567,Male,30-39,2016,0.049775201464603944,135,449523062
110,113937.705681,Male,80-89,2023,0.9654398369928152,135,449523062
237,1087204.558522,Male,40-49,2017,0.21799025596635613,135,449523062
295,361469.711157,Male,70-79,2018,0.816112639301804,135,449523062
29,767994.461328,Male,30-39,2018,0.03776068898967554,135,449523062
51,1072173.768652,Male,30-39,2017,0.04756691638158636,135,449523062
0,884655.59206,Male,0-9,2017,0,135,449523062
0,123006.773443,Male,0-9,2023,0,135,449523062
610,1225140.906229,Male,50-59,2017,0.49790191226051544,135,449523062
167,562660.205339,Male,40-49,2020,0.2968043561911106,135,449523062
465,650008.528405,Male,60-69,2018,0.7153752292158743,135,449523062
319,284491.310062,Male,60-69,2023,1.1212996275017308,135,449523062
634,872508.161533,Male,60-69,2017,0.7266407673322617,135,449523062
182,693237.355236,Male,40-49,2019,0.26253634289231487,135,449523062
-5,513605.412731,Male,20-29,2021,-0.009735099895878126,135,449523062
469,593371.156742,Male,70-79,2017,0.7903990523825258,135,449523062
28,549388.577687,Male,30-39,2021,0.05096574835589734,135,449523062
613,612947.408624,Male,60-69,2022,1.000085800796708,135,449523062
28,587791.378508,Male,30-39,2020,0.047635948780114526,135,449523062
334,384893.117043,Male,70-79,2020,0.8677733771027288,135,449523062
0,474656.758385,Male,0-9,2019,0,135,449523062
427,837173.01848,Male,50-59,2018,0.5100498828489192,135,449523062
9,665912.227242,Male,20-29,2019,0.013515294706744134,135,449523062
5,1059810.154689,Male,20-29,2017,0.004717826091661902,135,449523062
116,501003.66872,Male,40-49,2022,0.2315352306628115,135,449523062
0,369842.978782,Male,0-9,2020,0,135,449523062
664,1055862.65024,Male,60-69,2016,0.6288696733889311,135,449523062
0,1532047.055441,Male,50-59,2015,0,135,449523062
201,210341.86173900001,Male,70-79,2023,0.9555872442044288,135,449523062
200,232982.688569,Male,50-59,2023,0.8584328785474039,135,449523062
579,605138.852841,Male,60-69,2021,0.9568051981486835,135,449523062
196,759384.410678,Male,40-49,2018,0.2581037972915531,135,449523062
0,1514372.506502,Male,0-9,2016,0,135,449523062
196,218212.150582,Male,80-89,2022,0.8982084612485725,135,449523062
-5,549997.117043,Male,20-29,2020,-0.009090956743340692,135,449523062
0,1443240.599589,Male,0-9,2015,0,135,449523062
366,408283.586585,Male,70-79,2022,0.8964357422773912,135,449523062
364,403574.729637,Male,70-79,2021,0.9019395251219124,135,449523062
0,997468.558522,Male,60-69,2015,0,135,449523062
0,533271.315537,Male,0-9,2018,0,135,449523062
0,316710.12731,Male,0-9,2022,0,135,449523062
0,1372274.672142,Male,40-49,2015,0,135,449523062
462,641613.730322,Male,70-79,2016,0.7200594036043164,135,449523062
-5,1647756.208077,Male,10-19,2016,-0.0030344294717209457,135,449523062
188,216734.839151,Male,80-89,2021,0.8674193809192794,135,449523062
3794,112283314.067072,,,,0.03378952635592559,144,449523062
1101,58503293.013001,Female,,,0.01881945345803574,144,449523062
2693,53772358.234083,Male,,,0.05008149332556281,144,449523062
0,7662.819988,No matching concept,,,0,144,449523062
0,11733643.748115,,0-9,,0,144,449523062
-5,13606412.054756,,10-19,,-3.6747380425336263e-4,144,449523062
15,14685427.351126,,20-29,,0.0010214207350833328,144,449523062
70,15111753.349761,,30-39,,0.004632156069507784,144,449523062
358,14858705.177276,,40-49,,0.024093620253499842,144,449523062
916,16607725.801507,,50-59,,0.05515505319318804,144,449523062
1110,13514764.249145,,60-69,,0.08213239828213972,144,449523062
907,9232630.527034,,70-79,,0.09823852447514494,144,449523062
416,2932251.808352,,80-89,,0.1418704897086593,144,449523062
0,5734416.249143,Female,0-9,,0,144,449523062
-5,6697508.490074,Female,10-19,,-7.465462727535497e-4,144,449523062
-5,7611587.345653,Female,20-29,,-6.568932041298212e-4,144,449523062
16,7884681.05681,Female,30-39,,0.0020292513907307383,144,449523062
81,7714030.869268,Female,40-49,,0.01050034688384469,144,449523062
206,8683438.050650999,Female,50-59,,0.023723322352090268,144,449523062
261,7177383.22245,Female,60-69,,0.03636422800772614,144,449523062
329,5215232.407939,Female,70-79,,0.06308443694650552,144,449523062
204,1785015.3210129999,Female,80-89,,0.11428473335692692,144,449523062
0,5998708.835044,Male,0-9,,0,144,449523062
-5,6908283.271730999,Male,10-19,,-7.237688153958916e-4,144,449523062
12,7071846.0479109995,Male,20-29,,0.0016968695187510143,144,449523062
54,7225242.940452,Male,30-39,,0.007473797136656812,144,449523062
277,7143662.565365,Male,40-49,,0.03877562769313796,144,449523062
710,7923414.893909,Male,50-59,,0.08960782812797059,144,449523062
849,6336793.292266,Male,60-69,,0.1339794373656147,144,449523062
578,4017181.637234,Male,70-79,,0.14388196805509088,144,449523062
212,1147224.750171,Male,80-89,,0.18479378166170166,144,449523062
0,518.663928,No matching concept,0-9,,0,144,449523062
0,620.292951,No matching concept,10-19,,0,144,449523062
0,1993.957562,No matching concept,20-29,,0,144,449523062
