cohort_id,database_id,period_begin,period_end,series_type,calendar_interval,gender,age_group,records,subjects,person_days,person_days_in,records_start,subjects_start,subjects_start_in,records_end,subjects_end,subjects_end_in
135,-274552186,2006-03-01,2006-03-31,T2,m,MALE,40-49,169,169,4753,0,31,31,0,-5,-5,0
135,-274552186,2006-03-01,2006-03-31,T2,m,MALE,50-59,110,110,2922,0,36,36,0,-5,-5,0
135,-274552186,2006-03-01,2006-03-31,T2,m,MALE,60-69,65,65,1758,0,20,20,0,0,0,0
135,-274552186,2006-03-01,2006-03-31,T2,m,FEMALE,20-29,7,7,160,0,-5,-5,0,-5,-5,0
135,-274552186,2006-03-01,2006-03-31,T2,m,MALE,20-29,15,15,430,0,-5,-5,0,0,0,0
135,-274552186,2006-03-01,2006-03-31,T2,m,FEMALE,50-59,35,35,980,0,8,8,0,0,0,0
135,-274552186,2006-03-01,2006-03-31,T2,m,FEMALE,40-49,65,65,1828,0,16,16,0,-5,-5,0
135,-274552186,2006-03-01,2006-03-31,T2,m,MALE,30-39,52,52,1491,0,10,10,0,0,0,0
135,-274552186,2006-03-01,2006-03-31,T2,m,MALE,10-19,-5,-5,62,0,0,0,0,0,0,0
135,-274552186,2006-03-01,2006-03-31,T2,m,FEMALE,30-39,20,20,520,0,6,6,0,0,0,0
135,-274552186,2006-03-01,2006-03-31,T2,m,FEMALE,60-69,40,40,1172,0,-5,-5,0,0,0,0
135,-274552186,2006-04-01,2006-04-30,T2,m,NULL,NA,671,671,18592,0,95,95,0,-5,-5,0
135,-274552186,2006-04-01,2006-04-30,T2,m,MALE,NA,485,485,13296,0,74,74,0,-5,-5,0
135,-274552186,2006-04-01,2006-04-30,T2,m,FEMALE,NA,186,186,5296,0,21,21,0,-5,-5,0
135,-274552186,2006-04-01,2006-04-30,T2,m,NULL,30-39,91,91,2396,0,19,19,0,-5,-5,0
135,-274552186,2006-04-01,2006-04-30,T2,m,NULL,50-59,172,172,4712,0,28,28,0,0,0,0
135,-274552186,2006-04-01,2006-04-30,T2,m,NULL,60-69,122,122,3421,0,17,17,0,-5,-5,0
135,-274552186,2006-04-01,2006-04-30,T2,m,NULL,10-19,-5,-5,60,0,0,0,0,0,0,0
135,-274552186,2006-04-01,2006-04-30,T2,m,NULL,20-29,26,26,712,0,5,5,0,-5,-5,0
135,-274552186,2006-04-01,2006-04-30,T2,m,NULL,40-49,258,258,7291,0,26,26,0,-5,-5,0
135,-274552186,2006-04-01,2006-04-30,T2,m,FEMALE,60-69,46,46,1285,0,6,6,0,0,0,0
135,-274552186,2006-04-01,2006-04-30,T2,m,FEMALE,30-39,24,24,657,0,-5,-5,0,0,0,0
135,-274552186,2006-04-01,2006-04-30,T2,m,MALE,30-39,67,67,1739,0,15,15,0,-5,-5,0
135,-274552186,2006-04-01,2006-04-30,T2,m,FEMALE,20-29,6,6,180,0,0,0,0,0,0,0
135,-274552186,2006-04-01,2006-04-30,T2,m,MALE,40-49,188,188,5264,0,20,20,0,0,0,0
135,-274552186,2006-04-01,2006-04-30,T2,m,MALE,10-19,-5,-5,60,0,0,0,0,0,0,0
135,-274552186,2006-04-01,2006-04-30,T2,m,MALE,60-69,76,76,2136,0,11,11,0,-5,-5,0
135,-274552186,2006-04-01,2006-04-30,T2,m,MALE,50-59,132,132,3565,0,23,23,0,0,0,0
135,-274552186,2006-04-01,2006-04-30,T2,m,FEMALE,50-59,40,40,1147,0,5,5,0,0,0,0
135,-274552186,2006-04-01,2006-04-30,T2,m,MALE,20-29,20,20,532,0,5,5,0,-5,-5,0
135,-274552186,2006-04-01,2006-04-30,T2,m,FEMALE,40-49,70,70,2027,0,6,6,0,-5,-5,0
