ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
4243478,42894646,4,4
4243478,42894707,4,4
4243478,42894671,4,4
4239512,4328103,1,1
4243478,2725929,4,4
4243478,42894602,4,4
4243478,2313804,6,6
4243478,4238755,6,6
4243478,42894718,4,4
4243478,3190422,5,5
4243478,2725909,4,4
4243478,42894616,4,4
4243478,2725930,4,4
4243478,2725941,4,4
4243478,42894682,4,4
4243478,35607959,5,5
4295129,46270161,2,2
4311041,42894602,3,5
4269838,4328103,3,3
4311041,4238755,4,7
4311041,42894676,3,5
4311041,2725464,3,5
4295129,45766116,2,2
4295129,3661642,3,3
4311041,42894646,3,5
4286948,4329659,3,3
4311041,42894684,3,5
4311041,42894718,3,5
4311041,42894616,3,5
4295129,43020460,2,2
4311041,44511133,4,6
4311041,2313804,3,7
4311041,35607959,4,6
4304275,2788619,1,1
4311041,4265293,5,7
4311041,42894679,3,5
4311041,42894671,3,5
4311041,42894620,3,5
4311041,42894595,3,5
4311041,2725919,3,5
4311041,42894665,3,5
4311041,2725922,3,5
4311041,42894707,3,5
4269838,4238755,4,4
4311041,2725930,3,5
4311041,42894667,3,5
4311041,3190422,4,6
4311041,4328103,3,6
4311041,2725941,3,5
4311041,42894617,3,5
4311041,2725465,3,5
4311041,2725909,3,5
4295129,45773170,2,2
4311041,2725901,3,5
4311041,2725929,3,5
4311041,42894477,3,5
4311041,42894682,3,5
4326426,2725909,5,7
4326426,44511133,6,8
4326426,42894620,5,7
4326426,42894707,5,7
4326426,4265293,7,9
4326426,2725922,4,7
4326426,2313804,7,9
4326426,42894477,4,7
4326426,35607959,6,8
4326426,42894617,5,7
4326426,42894684,5,7
4326426,2725919,5,7
4326426,42894665,5,7
4326426,4238755,4,9
4346838,2787583,1,1
4326426,42894646,5,7
4326426,42894616,5,7
4326426,42894679,5,7
4326426,42894676,5,7
4326426,2725464,4,7
4326426,2725930,5,7
4326426,42894602,5,7
4326426,2725465,4,7
4326426,2725901,4,7
4326426,2725929,5,7
4347783,2788619,2,2
4326426,42894682,5,7
4328103,4238755,1,1
4326426,2001501,3,5
4326426,42894595,4,7
4326426,2725941,5,7
4326426,42894718,5,7
4326426,42894667,5,7
4326426,42894671,5,7
4326426,43533186,3,6
4326426,4328103,6,8
4326426,3190422,6,8
4326426,43533223,3,6
601837,604430,5,5
194526,45773170,7,7
194526,46270161,7,7
319844,604430,3,3
194526,3661642,8,8
37044165,3042905,2,4
37044165,3019044,2,2
37311810,2785849,1,1
37311810,2785850,1,1
37311810,2785854,1,1
40479237,2616267,1,1
40481384,2788619,3,3
43018679,42894477,1,1
43020080,42894684,1,1
43021817,1314440,1,1
43531057,45773170,8,10
43531057,43020460,9,10
43531057,45766116,8,10
43531057,3661642,10,11
44782712,3661642,2,2
194526,604430,7,7
45768092,35614221,3,3
45768092,35614202,3,3
45768092,35614226,3,3
45768092,35614227,3,3
45770937,35614219,3,3
45768092,35614254,4,4
45768093,35614202,2,2
45770937,35614243,4,4
45770937,35614221,3,3
45767945,45763963,1,1
45768093,35614254,3,3
45768092,35614209,3,3
45768093,35614217,2,2
45770937,35614227,3,3
45768093,35614209,2,2
45768093,35614243,3,3
45770937,35614254,4,4
45768092,45768093,1,1
45770937,45768093,1,1
45768093,35614226,2,2
45768092,35614219,3,3
45768093,35614227,2,2
45770937,35614202,3,3
45768092,35614217,3,3
45768093,35614221,2,2
45770937,35614209,3,3
45768093,35614219,2,2
45768092,35614243,4,4
45770937,35614217,3,3
45770937,35614226,3,3
45887645,2313880,1,1
45889587,2313913,3,3
45876220,3019044,1,1
45888788,2313880,2,2
45876220,3042905,1,1
45889718,2108841,2,2
45888788,2313868,2,2
45888082,2514414,3,3
45890149,2108841,1,1
46272801,2106371,1,2
8966,8966,0,0
8761,8761,0,0
2106371,2106371,0,0
2108841,2108841,0,0
2213542,2213542,0,0
2313804,2313804,0,0
2313868,2313868,0,0
2313880,2313880,0,0
2313913,2313913,0,0
2514414,2514414,0,0
2616267,2616267,0,0
2616272,2616272,0,0
43533186,43533186,0,0
43533223,43533223,0,0
2617231,2617231,0,0
2617453,2617453,0,0
1314440,1314440,0,0
2618107,2618107,0,0
2720560,2720560,0,0
